city,state,month,count,diseaseWiseCount,diseaseWiseMonth
Pune,Maharashtra,October 2024,221,221.0,October 2024
Pune,Maharashtra,October 2024,221,265.0,September 2024
Pune,Maharashtra,October 2024,221,361.0,August 2024
Pune,Maharashtra,October 2024,221,0.0,October 2024
Pune,Maharashtra,September 2024,265,0.0,September 2024
Pune,Maharashtra,September 2024,265,0.0,August 2024
Pune,Maharashtra,September 2024,265,2.0,October 2024
Pune,Maharashtra,September 2024,265,0.0,September 2024
Pune,Maharashtra,August 2024,361,0.0,August 2024
Pune,Maharashtra,August 2024,361,341.0,October 2024
Pune,Maharashtra,August 2024,361,592.0,September 2024
Pune,Maharashtra,August 2024,361,328.0,August 2024
Pune,Maharashtra,October 2024,0,0.0,October 2024
Pune,Maharashtra,September 2024,0,0.0,September 2024
Pune,Maharashtra,August 2024,0,0.0,August 2024
Pune,Maharashtra,October 2024,2,86.0,October 2024
Pune,Maharashtra,September 2024,0,60.0,September 2024
Pune,Maharashtra,August 2024,0,26.0,August 2024
Karad,Maharashtra,October 2024,341,0.0,October 2024
Karad,Maharashtra,October 2024,341,16.0,September 2024
Karad,Maharashtra,October 2024,341,44.0,August 2024
Karad,Maharashtra,September 2024,592,278.0,October 2024
Karad,Maharashtra,September 2024,592,224.0,September 2024
Karad,Maharashtra,September 2024,592,155.0,August 2024
Karad,Maharashtra,August 2024,328,24.0,October 2024
Karad,Maharashtra,August 2024,328,88.0,September 2024
Karad,Maharashtra,August 2024,328,0.0,August 2024
Navsari,Gujarat,October 2024,0,0.0,October 2024
Navsari,Gujarat,September 2024,0,0.0,September 2024
Navsari,Gujarat,August 2024,0,0.0,August 2024
Rajamahendravaram,Andhra Pradesh,October 2024,86,0.0,October 2024
Rajamahendravaram,Andhra Pradesh,October 2024,86,0.0,September 2024
Rajamahendravaram,Andhra Pradesh,October 2024,86,0.0,August 2024
Rajamahendravaram,Andhra Pradesh,September 2024,60,0.0,October 2024
Rajamahendravaram,Andhra Pradesh,September 2024,60,0.0,September 2024
Rajamahendravaram,Andhra Pradesh,September 2024,60,8.0,August 2024
Rajamahendravaram,Andhra Pradesh,August 2024,26,37.0,October 2024
Rajamahendravaram,Andhra Pradesh,August 2024,26,39.0,September 2024
Rajamahendravaram,Andhra Pradesh,August 2024,26,9.0,August 2024
Ahmedabad,Gujarat,October 2024,0,0.0,October 2024
Ahmedabad,Gujarat,October 2024,0,7.0,September 2024
Ahmedabad,Gujarat,October 2024,0,0.0,August 2024
Ahmedabad,Gujarat,September 2024,16,0.0,October 2024
Ahmedabad,Gujarat,September 2024,16,0.0,September 2024
Ahmedabad,Gujarat,September 2024,16,147.0,August 2024
